,Brand,Bluetooth_Version,Color,MRP,Selling_Price,Rating,Discount_Percentage,Discount Amount,Rating_Category
0,Noise,5.0,Red,2125,1593,3.8,25,532,Average
1,Noise,5.0,Grey,2727,2399,3.5,12,328,Average
2,Mivi,5.1,Grey,3464,3082,4.2,11,382,Good
3,JBL,5.1,Green,3412,2490,4.6,27,922,Excellent
4,boAt,5.1,Red,2730,1883,3.9,31,847,Average
5,Mivi,5.2,Black,1378,909,3.6,34,469,Average
6,Boult,5.2,Pink,1176,517,4.1,56,659,Good
7,Noise,5.3,Black,3260,2347,4.6,28,913,Excellent
8,Boult,5.1,Red,1283,1129,4.4,12,154,Good
9,realme,5.0,Pink,1952,1639,4.0,16,313,Average
10,OnePlus,5.2,Blue,2515,1710,3.8,32,805,Average
11,realme,5.0,Grey,3599,2879,4.2,20,720,Good
12,Mivi,5.1,Green,2553,1863,4.8,27,690,Excellent
13,Mivi,5.2,Pink,4146,1699,3.6,59,2447,Average
14,boAt,5.2,Green,2095,1801,3.8,14,294,Average
15,Boult,5.1,Red,3043,1977,4.7,35,1066,Excellent
16,OnePlus,5.1,White,1570,1177,4.5,25,393,Good
17,realme,5.3,Grey,2634,1764,3.8,33,870,Average
18,truke,5.3,Black,4094,3561,4.6,13,533,Excellent
19,truke,5.1,Pink,3786,2385,4.3,37,1401,Good
20,JBL,5.3,Grey,2916,1662,3.8,43,1254,Average
21,boAt,5.0,Red,4623,2588,4.5,44,2035,Good
22,Boult,5.0,White,2779,2223,4.1,20,556,Good
23,realme,5.1,Grey,4737,3979,4.6,16,758,Excellent
24,realme,5.1,Blue,2530,1062,3.7,58,1468,Average
25,boAt,5.2,Green,1078,894,4.7,17,184,Excellent
26,realme,5.1,Black,1985,1071,4.7,46,914,Excellent
27,Noise,5.3,Pink,1282,538,4.2,58,744,Good
28,truke,5.1,Red,2945,1619,3.7,45,1326,Average
29,JBL,5.1,Grey,4092,1800,4.4,56,2292,Good
30,realme,5.3,Red,3660,2452,4.1,33,1208,Good
31,OnePlus,5.0,Blue,1919,1650,3.9,14,269,Average
32,Mivi,5.1,Black,1289,580,4.3,55,709,Good
33,Mivi,5.0,Black,4520,3118,3.6,31,1402,Average
34,Mivi,5.2,Red,2987,2299,4.2,23,688,Good
35,OnePlus,5.1,Pink,2936,1879,3.7,36,1057,Average
36,Noise,5.3,White,2733,1749,4.1,36,984,Good
37,boAt,5.0,Black,2648,1165,3.9,56,1483,Average
38,Noise,5.1,Blue,1778,995,4.1,44,783,Good
39,JBL,5.1,White,2893,2169,4.6,25,724,Excellent
40,Noise,5.3,Pink,4527,2489,3.6,45,2038,Average
41,boAt,5.0,Pink,4475,3356,3.7,25,1119,Average
42,OnePlus,5.3,Blue,4540,2951,4.7,35,1589,Excellent
43,truke,5.3,Black,2598,1922,4.7,26,676,Excellent
44,OnePlus,5.2,Green,3852,1694,4.8,56,2158,Excellent
45,OnePlus,5.1,Blue,2214,1704,4.8,23,510,Excellent
46,boAt,5.2,Black,1204,638,4.1,47,566,Good
47,truke,5.0,Grey,1327,1048,3.6,21,279,Average
48,Noise,5.1,Green,1490,804,3.8,46,686,Average
49,boAt,5.0,Green,3691,1956,4.2,47,1735,Good
50,Boult,5.2,Blue,3742,1683,3.9,55,2059,Average
51,realme,5.3,Blue,3750,1837,3.9,51,1913,Average
52,Boult,5.0,Black,2876,1466,4.8,49,1410,Excellent
53,Noise,5.0,Grey,1872,1085,3.8,42,787,Average
54,Boult,5.0,Blue,2512,1808,3.7,28,704,Average
55,realme,5.0,Red,4345,2389,3.9,45,1956,Average
56,Noise,5.1,White,1471,1235,4.5,16,236,Good
57,truke,5.2,White,3476,2676,4.4,23,800,Good
58,Mivi,5.2,Grey,3000,2220,4.7,26,780,Excellent
59,boAt,5.0,Red,2733,1995,3.6,27,738,Average
60,Boult,5.1,Red,2071,1656,4.5,20,415,Good
61,JBL,5.0,Black,1307,601,4.7,54,706,Excellent
62,boAt,5.2,Grey,3262,2642,4.1,19,620,Good
63,boAt,5.2,White,4681,1872,4.8,60,2809,Excellent
64,boAt,5.2,Blue,3792,2844,4.4,25,948,Good
65,Boult,5.3,Grey,4068,3295,4.7,19,773,Excellent
66,Mivi,5.1,Pink,4319,3412,4.6,21,907,Excellent
67,boAt,5.1,Red,4785,3301,4.5,31,1484,Good
68,JBL,5.1,White,1651,660,4.4,60,991,Good
69,JBL,5.0,Pink,2926,2223,3.8,24,703,Average
70,OnePlus,5.2,White,4359,1743,4.6,60,2616,Excellent
71,Mivi,5.0,Red,1790,1163,3.9,35,627,Average
72,Noise,5.2,White,3626,2103,4.0,42,1523,Average
73,Boult,5.0,Black,4591,3397,3.7,26,1194,Average
74,realme,5.0,Black,3442,2168,3.9,37,1274,Average
75,Boult,5.3,Grey,3093,2567,4.0,17,526,Average
76,Mivi,5.2,Black,3902,2458,3.5,37,1444,Average
77,Mivi,5.2,Green,1285,616,4.7,52,669,Excellent
78,Boult,5.0,Red,4685,3326,4.2,29,1359,Good
79,JBL,5.2,Green,3854,2774,4.2,28,1080,Good
80,Mivi,5.3,Red,4850,3200,4.4,34,1650,Good
81,truke,5.2,Green,3243,2918,3.9,10,325,Average
82,Mivi,5.3,Pink,3374,1754,4.4,48,1620,Good
83,OnePlus,5.3,Green,3766,2899,4.2,23,867,Good
84,truke,5.0,White,3110,1492,4.3,52,1618,Good
85,Boult,5.0,Pink,4898,2057,3.8,58,2841,Average
86,realme,5.1,Pink,1814,1469,3.5,19,345,Average
87,Mivi,5.3,Grey,4479,1836,3.6,59,2643,Average
88,JBL,5.1,Red,3851,2541,4.1,34,1310,Good
89,Mivi,5.1,Red,3815,3433,4.7,10,382,Excellent
90,Noise,5.3,Blue,1719,790,4.2,54,929,Good
91,boAt,5.1,Pink,1496,912,3.7,39,584,Average
92,OnePlus,5.2,Pink,4650,2883,4.3,38,1767,Good
93,JBL,5.3,Blue,4045,2427,4.1,40,1618,Good
94,Mivi,5.2,Pink,4184,2384,4.1,43,1800,Good
95,Mivi,5.2,Green,1316,592,3.9,55,724,Average
96,realme,5.2,White,4656,2607,3.6,44,2049,Average
97,truke,5.1,Green,3841,3111,4.4,19,730,Good
98,Noise,5.3,Green,2354,1318,4.1,44,1036,Good
99,boAt,5.1,Pink,2719,1794,4.7,34,925,Excellent
100,boAt,5.3,Green,1023,695,3.9,32,328,Average
101,JBL,5.3,Grey,4060,1745,4.2,57,2315,Good
102,Mivi,5.3,Blue,2116,1333,4.1,37,783,Good
103,JBL,5.2,Red,3780,2457,4.4,35,1323,Good
104,OnePlus,5.1,Grey,3186,2835,4.7,11,351,Excellent
105,boAt,5.0,Red,2754,2258,4.6,18,496,Excellent
106,truke,5.0,White,2551,1785,3.8,30,766,Average
107,Boult,5.2,Pink,4602,3037,3.9,34,1565,Average
108,JBL,5.2,Pink,1334,800,3.5,40,534,Average
109,boAt,5.2,Blue,3661,3148,4.5,14,513,Good
110,boAt,5.0,Blue,1815,1615,4.3,11,200,Good
111,Mivi,5.1,Green,3741,3105,4.2,17,636,Good
112,Mivi,5.3,Red,2048,839,4.0,59,1209,Average
113,Noise,5.1,White,1441,763,3.5,47,678,Average
114,realme,5.3,Green,4855,2184,3.8,55,2671,Average
115,Mivi,5.0,Red,4163,2955,4.6,29,1208,Excellent
116,Noise,5.0,White,3181,2004,4.4,37,1177,Good
117,Noise,5.2,Black,4478,2865,4.6,36,1613,Excellent
118,Noise,5.3,White,3602,2197,4.4,39,1405,Good
119,JBL,5.1,Red,3136,1536,3.9,51,1600,Average
120,OnePlus,5.3,Green,4381,1927,4.3,56,2454,Good
121,Boult,5.1,Pink,4827,4102,3.9,15,725,Average
122,OnePlus,5.1,Pink,2902,1567,4.3,46,1335,Good
123,JBL,5.2,Black,3023,2116,3.7,30,907,Average
124,Mivi,5.2,Pink,2057,1419,3.9,31,638,Average
125,realme,5.0,Grey,4882,3807,3.6,22,1075,Average
126,JBL,5.3,Grey,4104,3078,4.4,25,1026,Good
127,OnePlus,5.3,Pink,1069,908,3.9,15,161,Average
128,JBL,5.1,White,3718,1970,4.0,47,1748,Average
129,Boult,5.3,Red,3253,2244,4.0,31,1009,Average
130,OnePlus,5.2,White,2028,1541,3.7,24,487,Average
131,Mivi,5.2,Black,4041,2262,4.7,44,1779,Excellent
132,truke,5.1,Blue,4024,2414,3.9,40,1610,Average
133,realme,5.0,Pink,1794,1291,3.8,28,503,Average
134,truke,5.2,Black,3899,2183,3.7,44,1716,Average
135,boAt,5.0,Grey,2195,1009,4.7,54,1186,Excellent
136,OnePlus,5.0,Pink,1049,566,3.9,46,483,Average
137,OnePlus,5.3,White,1754,1525,3.8,13,229,Average
138,OnePlus,5.0,Pink,1266,822,4.1,35,444,Good
139,boAt,5.1,Blue,4321,2333,4.7,46,1988,Excellent
140,Noise,5.1,Black,3284,1379,4.0,58,1905,Average
141,Mivi,5.3,Green,4720,2926,3.9,38,1794,Average
142,JBL,5.2,Grey,3542,3081,4.3,13,461,Good
143,Noise,5.1,Red,1863,1378,4.4,26,485,Good
144,truke,5.1,Blue,3259,2802,3.7,14,457,Average
145,JBL,5.3,Red,3431,2058,3.9,40,1373,Average
146,Mivi,5.2,Red,2157,992,4.6,54,1165,Excellent
147,Noise,5.1,White,4225,1690,4.3,60,2535,Good
148,Mivi,5.3,Black,3229,2454,4.3,24,775,Good
149,realme,5.1,Black,1243,994,4.5,20,249,Good
150,realme,5.3,Black,2918,1342,3.9,54,1576,Average
151,JBL,5.2,Grey,3210,1893,4.1,41,1317,Good
152,boAt,5.3,Red,2319,1205,3.8,48,1114,Average
153,Noise,5.1,Red,4423,2388,4.3,46,2035,Good
154,boAt,5.2,Grey,1163,488,4.5,58,675,Good
155,OnePlus,5.3,White,1742,923,4.1,47,819,Good
156,OnePlus,5.0,Green,2424,1551,3.9,36,873,Average
157,Noise,5.1,White,2685,1235,4.1,54,1450,Good
158,JBL,5.0,Green,1359,951,3.8,30,408,Average
159,Noise,5.3,Pink,3106,2795,4.4,10,311,Good
160,OnePlus,5.3,Black,1767,1007,4.0,43,760,Average
161,OnePlus,5.3,Pink,1210,931,3.8,23,279,Average
162,truke,5.2,Green,4606,2118,4.1,54,2488,Good
163,boAt,5.1,Red,1647,1169,4.2,29,478,Good
164,JBL,5.0,Blue,4445,3689,4.1,17,756,Good
165,Noise,5.1,Green,4819,2168,3.9,55,2651,Average
166,realme,5.3,Pink,2975,1785,3.8,40,1190,Average
167,truke,5.3,Blue,4774,2482,4.2,48,2292,Good
168,truke,5.0,White,4163,1665,4.6,60,2498,Excellent
169,Boult,5.2,Pink,1009,726,4.4,28,283,Good
170,OnePlus,5.1,Green,3205,1923,3.9,40,1282,Average
171,JBL,5.3,White,4560,3556,4.8,22,1004,Excellent
172,Mivi,5.3,Blue,4505,1847,4.0,59,2658,Average
173,Boult,5.3,Red,4740,3128,4.0,34,1612,Average
174,truke,5.3,Black,1516,879,4.8,42,637,Excellent
175,Boult,5.0,Pink,4460,2765,3.6,38,1695,Average
176,OnePlus,5.0,Red,1589,1016,4.6,36,573,Excellent
177,truke,5.0,Green,4200,3108,3.9,26,1092,Average
178,JBL,5.0,Pink,2344,1101,4.6,53,1243,Excellent
179,JBL,5.2,Red,3942,1655,4.1,58,2287,Good
180,boAt,5.0,Blue,3584,1684,4.7,53,1900,Excellent
181,Mivi,5.0,Green,1402,588,4.3,58,814,Good
182,Noise,5.3,Blue,3841,2727,4.7,29,1114,Excellent
183,boAt,5.2,Pink,1228,884,4.0,28,344,Average
184,JBL,5.1,Blue,3174,2031,4.2,36,1143,Good
185,truke,5.1,Blue,1322,674,4.6,49,648,Excellent
186,Mivi,5.3,Grey,1585,1204,4.1,24,381,Good
187,realme,5.3,White,3730,3357,4.7,10,373,Excellent
188,OnePlus,5.2,Red,3237,2589,3.6,20,648,Average
189,Boult,5.2,Red,4939,3111,4.4,37,1828,Good
190,OnePlus,5.2,Blue,2574,1544,3.6,40,1030,Average
